seed,phase_C_tick,cv_early,cv_late,delta
130,4850,0.25619999999999993,0.256125,-7.499999999993623e-05
132,5500,0.21710499999999996,0.15663,-0.06047499999999997
133,4850,0.23400000000000004,0.255815,0.021814999999999973
134,4450,0.19160000000000005,0.2659,0.07429999999999998
136,3900,0.1528,0.320145,0.16734500000000002
137,4800,0.23399999999999999,0.23095,-0.003049999999999997
138,5200,0.23555999999999994,0.22526000000000002,-0.01029999999999992
139,4700,0.24829000000000004,0.26833999999999997,0.02004999999999993
140,3750,0.19450000000000003,0.35936500000000005,0.164865
142,4700,0.23503500000000002,0.24342000000000003,0.008385000000000004
143,5450,0.21852,0.177765,-0.040754999999999986
144,3800,0.08970000000000003,0.28170000000000006,0.19200000000000003
146,4750,0.23313,0.24573000000000006,0.012600000000000056
147,5350,0.18509999999999996,0.15045,-0.03464999999999996
148,4400,0.1551,0.32297500000000007,0.16787500000000008
149,4150,0.135895,0.29169999999999996,0.15580499999999997
151,5100,0.25243000000000004,0.235405,-0.01702500000000004
153,5250,0.2679,0.24643,-0.021470000000000017
154,4700,0.21830000000000002,0.25500999999999996,0.03670999999999994
155,4200,0.09959999999999998,0.26515000000000005,0.16555000000000009
156,5450,0.21070000000000003,0.16867,-0.04203000000000004
157,4300,0.1618,0.30494,0.14314
158,4350,0.15660000000000002,0.289195,0.13259499999999996
159,4150,0.11560000000000001,0.29512499999999997,0.17952499999999996
160,4450,0.16739999999999994,0.27661500000000006,0.10921500000000012
161,4700,0.2071,0.23693000000000003,0.029830000000000023
163,4850,0.24854999999999997,0.24272000000000005,-0.005829999999999919
164,3700,0.15610500000000002,0.36597,0.209865
165,4300,0.14440000000000003,0.29352,0.14911999999999997
166,3650,0.138435,0.35678,0.21834499999999998
168,5350,0.2041,0.17113499999999998,-0.03296500000000002
169,5150,0.25025499999999995,0.23182,-0.01843499999999995
170,5400,0.23354000000000003,0.18381,-0.049730000000000024
171,5400,0.2012,0.158365,-0.042834999999999984
172,4950,0.23120000000000002,0.22633499999999995,-0.004865000000000064
173,5300,0.20866,0.19188999999999998,-0.016770000000000035
174,4800,0.20780000000000004,0.23735,0.029549999999999965
175,4350,0.13399999999999998,0.25467000000000006,0.12067000000000008
177,4600,0.19512000000000002,0.26514000000000004,0.07002000000000003
179,5200,0.25129999999999997,0.22586500000000004,-0.02543499999999993
180,4250,0.1431,0.28446,0.14135999999999999
181,3700,0.17481999999999998,0.34607999999999994,0.17125999999999997
182,4400,0.1654,0.29413,0.12873
183,4500,0.19163000000000005,0.28107,0.08943999999999994
184,4650,0.20739999999999997,0.23853999999999997,0.03114
186,3800,0.17051999999999998,0.2767,0.10618000000000002
188,3850,0.17704,0.3531000000000001,0.17606000000000008
189,4300,0.1511,0.2867449999999999,0.1356449999999999
190,4750,0.23119499999999996,0.259315,0.02812000000000006
192,5100,0.20647500000000002,0.19646999999999998,-0.010005000000000042
193,4400,0.16299999999999998,0.24397999999999995,0.08097999999999997
196,3950,0.1143,0.282645,0.16834499999999997
197,5500,0.19902000000000003,0.171095,-0.027925000000000033
199,4350,0.16150000000000003,0.271455,0.10995499999999997
