seed,phase_C_tick,phase_D_tick,reached_D,delta_cv
58,5150,-1,False,-0.02093999999999996
59,4100,5700,True,0.16580500000000004
60,5450,-1,False,-0.030109999999999942
61,5250,-1,False,-0.038355
62,6200,-1,False,-0.07188499999999995
63,5450,6850,True,-0.055879999999999985
64,4450,6150,True,0.09240999999999999
66,6000,-1,False,-0.06519999999999998
67,3900,5400,True,0.24575499999999995
68,4800,-1,False,0.006694999999999979
69,6100,-1,False,-0.0809
70,5050,6350,True,0.0066900000000000015
71,4200,5800,True,0.11879499999999993
72,5400,-1,False,-0.020500000000000074
73,5400,-1,False,-0.045884999999999954
74,5100,-1,False,-0.03336499999999987
75,4450,5650,True,0.10327
76,6100,-1,False,-0.0837111111111111
77,4450,5850,True,0.10442999999999997
78,4100,4900,True,0.17026000000000008
79,5250,-1,False,-0.04641000000000009
80,4600,-1,False,0.04696499999999995
81,3900,5550,True,0.22254
82,5300,-1,False,-0.03366999999999992
83,4400,5650,True,0.12355000000000005
84,6250,-1,False,-0.08533500000000004
85,5500,-1,False,-0.04555000000000001
86,5300,8900,True,-0.05038999999999996
87,4300,5600,True,0.12488500000000011
88,4450,5850,True,0.11090999999999995
89,5300,-1,False,-0.03527999999999995
90,5300,-1,False,-0.03487000000000007
91,4950,-1,False,-0.018929999999999975
92,4500,6000,True,0.07017000000000001
94,5200,-1,False,-0.03802000000000008
95,3850,5750,True,0.1885050000000001
96,3750,5200,True,0.21796999999999994
97,5250,-1,False,-0.02549999999999994
98,4300,5700,True,0.13634999999999994
99,5100,-1,False,-0.002160000000000023
100,4300,5550,True,0.10072500000000015
101,5300,-1,False,-0.011504999999999987
102,5550,7050,True,-0.025664999999999993
103,5600,-1,False,-0.03896315789473684
104,4800,-1,False,0.014944999999999986
105,4050,5700,True,0.14530499999999996
106,5350,-1,False,-0.024659999999999987
107,4850,-1,False,-0.01556000000000013
108,5100,-1,False,-0.020234999999999947
109,4650,-1,False,0.015144999999999992
110,3850,5900,True,0.19881
111,5650,7000,True,-0.044022222222222185
113,4350,5800,True,0.09805499999999995
115,5250,-1,False,-0.037114999999999954
117,4700,-1,False,0.06859500000000004
118,4250,5800,True,0.12481499999999993
119,5050,-1,False,-0.004064999999999902
120,4250,5800,True,0.14867999999999992
121,6350,-1,False,-0.09478500000000001
122,5250,-1,False,-0.029850000000000043
123,5000,6350,True,0.023019999999999985
124,4750,-1,False,0.021310000000000023
125,5150,6300,True,-0.026260000000000006
126,5250,-1,False,-0.055119999999999975
127,4500,6050,True,0.11282000000000006
128,4600,6000,True,0.08517000000000008
129,5700,-1,False,-0.04679999999999995
130,4850,-1,False,-7.499999999993623e-05
132,5500,-1,False,-0.06047499999999997
133,4850,-1,False,0.021814999999999973
134,4450,5850,True,0.07429999999999998
135,5600,6850,True,-0.04040000000000002
136,3900,5350,True,0.16734500000000002
137,4800,-1,False,-0.003049999999999997
138,5200,-1,False,-0.01029999999999992
139,4700,-1,False,0.02004999999999993
140,3750,5250,True,0.164865
142,4700,-1,False,0.008385000000000004
143,5450,6700,True,-0.040754999999999986
144,3800,5550,True,0.19200000000000003
146,4750,-1,False,0.012600000000000056
147,5350,-1,False,-0.03464999999999996
148,4400,5550,True,0.16787500000000008
149,4150,5250,True,0.15580499999999997
150,5550,-1,False,-0.06320500000000004
151,5100,6250,True,-0.01702500000000004
153,5250,-1,False,-0.021470000000000017
154,4700,-1,False,0.03670999999999994
155,4200,6100,True,0.16555000000000009
156,5450,6600,True,-0.04203000000000004
157,4300,6000,True,0.14314
158,4350,5700,True,0.13259499999999996
159,4150,5650,True,0.17952499999999996
160,4450,5850,True,0.10921500000000012
161,4700,7700,True,0.029830000000000023
163,4850,-1,False,-0.005829999999999919
164,3700,5200,True,0.209865
165,4300,5900,True,0.14911999999999997
166,3650,5000,True,0.21834499999999998
168,5350,6550,True,-0.03296500000000002
169,5150,-1,False,-0.01843499999999995
170,5400,-1,False,-0.049730000000000024
171,5400,6900,True,-0.042834999999999984
172,4950,-1,False,-0.004865000000000064
173,5300,7050,True,-0.016770000000000035
174,4800,6200,True,0.029549999999999965
175,4350,5850,True,0.12067000000000008
176,5550,-1,False,-0.07392499999999999
177,4600,5750,True,0.07002000000000003
179,5200,-1,False,-0.02543499999999993
180,4250,7500,True,0.14135999999999999
181,3700,5400,True,0.17125999999999997
182,4400,5850,True,0.12873
183,4500,5850,True,0.08943999999999994
184,4650,-1,False,0.03114
186,3800,5100,True,0.10618000000000002
188,3850,4600,True,0.17606000000000008
189,4300,5650,True,0.1356449999999999
190,4750,-1,False,0.02812000000000006
192,5100,-1,False,-0.010005000000000042
193,4400,5750,True,0.08097999999999997
196,3950,6000,True,0.16834499999999997
197,5500,-1,False,-0.027925000000000033
198,5850,-1,False,-0.05759357142857138
199,4350,9700,True,0.10995499999999997
