seed,phase_C_tick,cv_pre,cv_post,delta
341,4700,0.91791,0.17654999999999998,-0.74136
342,4000,0.9093899999999999,0.11061999999999998,-0.79877
344,4300,0.91306,0.13931999999999997,-0.77374
345,3750,0.91393,0.12309999999999999,-0.79083
346,4750,0.92045,0.21686,-0.7035899999999999
347,5200,0.92387,0.23804000000000003,-0.6858299999999999
348,4750,0.9237,0.225,-0.6987
350,3450,0.92364,0.22920000000000001,-0.69444
352,4700,0.92045,0.20856,-0.71189
353,5300,0.9247400000000001,0.24539,-0.6793500000000001
354,4050,0.40274,0.15952000000000002,-0.24321999999999996
355,5200,0.9148999999999999,0.19214000000000003,-0.7227599999999998
356,3700,0.6864799999999999,0.2185,-0.46797999999999984
357,4200,0.9130699999999999,0.13518,-0.77789
358,7900,0.25275000000000003,0.24569999999999997,-0.007050000000000056
359,3950,0.9072100000000001,0.13804,-0.7691700000000001
360,3700,0.91456,0.13855,-0.7760100000000001
361,14200,0.18650000000000003,1.0,0.8135
362,3850,0.9137000000000001,0.11738,-0.79632
363,5250,0.92208,0.23334000000000002,-0.68874
364,4350,0.90998,0.12421,-0.78577
365,4200,0.91428,0.14725000000000002,-0.76703
366,4250,0.9085000000000001,0.11881,-0.7896900000000001
367,4100,0.90626,0.07987999999999999,-0.82638
368,9000,0.26358000000000004,0.23147999999999996,-0.03210000000000007
369,3850,0.91339,0.0967,-0.81669
370,4150,0.91077,0.12768000000000002,-0.78309
371,5100,0.92337,0.25372000000000006,-0.66965
372,3800,0.90907,0.10533999999999999,-0.80373
373,4900,0.9226000000000001,0.23561,-0.6869900000000001
374,4900,0.92308,0.2358,-0.68728
375,5350,0.92387,0.23760000000000003,-0.6862699999999999
376,4850,0.9225,0.24991,-0.67259
377,4100,0.29131,0.15111,-0.14020000000000002
378,3650,0.9107900000000001,0.11125,-0.7995400000000001
379,4200,0.44245999999999996,0.11012999999999999,-0.33232999999999996
380,3750,0.90905,0.10499,-0.80406
381,4700,0.9181900000000001,0.20446,-0.7137300000000001
382,4950,0.9218,0.22075999999999998,-0.70104
383,7750,0.26121000000000005,0.24549999999999997,-0.015710000000000085
384,5650,0.69939,0.22125,-0.47813999999999995
385,3850,0.91038,0.12644,-0.78394
386,9150,0.26391000000000003,0.18476,-0.07915000000000003
387,3650,0.9053599999999999,0.09039,-0.81497
388,5650,0.92139,0.19992000000000001,-0.7214700000000001
389,3950,0.6437200000000001,0.10414000000000001,-0.5395800000000001
390,5000,0.9179,0.18753999999999998,-0.7303600000000001
391,4250,0.9104599999999999,0.11795,-0.7925099999999999
392,4200,0.91328,0.15028999999999998,-0.7629900000000001
393,3850,0.9078200000000001,0.11217999999999999,-0.7956400000000001
394,4050,0.8207599999999999,0.09804000000000002,-0.7227199999999999
395,4300,0.91029,0.6638200000000001,-0.24646999999999997
396,3850,0.90549,0.09072,-0.81477
397,4200,0.91245,0.14513,-0.76732
398,3900,0.9093,0.08940000000000001,-0.8199
399,4100,0.28605,0.09344000000000001,-0.19261
401,3800,0.90907,0.12589999999999998,-0.78317
402,3900,0.91363,0.11066000000000001,-0.8029700000000001
403,4300,0.91446,0.16931000000000002,-0.74515
404,4250,0.91336,0.14679999999999999,-0.7665599999999999
405,4500,0.91569,0.16536000000000003,-0.7503299999999999
406,4550,0.91924,0.18431999999999998,-0.73492
407,4050,0.91584,0.1504,-0.76544
408,3850,0.9122899999999999,0.11522000000000002,-0.79707
409,4300,0.91342,0.14809,-0.7653300000000001
410,5250,0.9218299999999999,0.2183,-0.70353
411,9650,0.25518,0.20924,-0.04594000000000001
412,4250,0.9117000000000001,0.12334,-0.7883600000000001
413,3750,0.9115500000000001,0.10623,-0.80532
414,4500,0.91622,0.18220999999999998,-0.73401
415,3800,0.91334,0.12035,-0.7929900000000001
416,4700,0.9204399999999999,0.21652,-0.7039199999999999
417,3900,0.9103199999999999,0.10608,-0.80424
418,5300,0.91827,0.19341999999999998,-0.72485
419,5350,0.9216,0.21934000000000003,-0.7022599999999999
420,5250,0.92276,0.22296,-0.6998
421,4250,0.91167,0.12410000000000002,-0.78757
422,3650,0.91288,0.12628,-0.7866
423,4150,0.35821000000000003,0.09719,-0.26102000000000003
424,4200,0.9096,0.12315000000000001,-0.78645
425,3850,0.4360100000000001,0.19229999999999997,-0.24371000000000015
426,3650,0.9155200000000001,0.18075999999999998,-0.7347600000000001
427,4800,0.9223399999999999,0.23625,-0.68609
428,4050,0.9093199999999999,0.10307999999999999,-0.80624
429,5400,0.9201599999999999,0.20346999999999998,-0.7166899999999998
430,3900,0.6598499999999999,0.16812,-0.49172999999999994
431,4750,0.91812,0.20554,-0.71258
432,3900,0.43644,0.19470000000000004,-0.24173999999999995
433,4150,0.9068799999999999,0.09535999999999999,-0.8115199999999999
435,4500,0.9112600000000001,0.15345,-0.7578100000000001
436,4450,0.9167500000000001,0.17614000000000002,-0.74061
437,4950,0.9221600000000001,0.21742,-0.7047400000000001
438,3950,0.9110400000000001,0.11747999999999999,-0.79356
439,3700,0.69787,0.23490000000000003,-0.46297
440,4150,0.90808,0.10338,-0.8047
441,4850,0.91898,0.21186,-0.70712
442,3900,0.90869,0.09384999999999999,-0.81484
444,3650,0.91654,0.14579000000000003,-0.77075
445,4900,0.91569,0.16886,-0.74683
446,4400,0.9131,0.13788,-0.77522
447,3750,0.91067,0.14934000000000003,-0.76133
448,3750,0.90848,0.08516,-0.8233199999999999
