lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.60191,0.4714
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.33618,0.564
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.24566,0.7173
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.1428,0.5448
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.1428,0.7358
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.1428,0.6847
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.06,0.5779
0.008,,,5,17400,0,-1.0,-1.0,-1.0,-1.0,0.06,0.8491
0.008,,,5,17600,7,1680.0,2277.0,2083.57,2261.0,0.0,0.2263
0.008,,,5,17600,3,1772.0,2037.0,1867.67,1794.0,0.64223,0.6108
0.008,,,5,17600,2,1718.0,2103.0,1910.5,1718.0,0.68508,0.5298
0.008,,,5,17600,1,1865.0,1865.0,1865.0,1865.0,0.59353,0.6249
0.008,,,5,17600,1,1724.0,1724.0,1724.0,1724.0,0.85375,0.4282
0.008,,,5,17600,1,1693.0,1693.0,1693.0,1693.0,0.72282,0.5885
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.91217,0.3818
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.83358,0.5104
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.59334,0.6304
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.72265,0.5073
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.68491,0.545
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.0,0.194
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.87401,0.4046
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.81513,0.4279
0.008,,,5,17600,0,-1.0,-1.0,-1.0,-1.0,0.78992,0.4022
