variant,seed,max_ticks,rhist_every,rhist_len,buffer_ticks,sample_interval,def_S,def_CV,def_clock_r,xB,xC,ss_clock_r,ss_cv,final_pop,total_divisions,T_div
short,15,20000,10,40,400,50,-1,3900,400,3900,-1,0.691877,0.118223,25,271,1845.0
short,16,20000,10,40,400,50,150,3850,400,3850,2250,0.73443,0.092992,43,297,2895.6
short,17,20000,10,40,400,50,150,3600,400,3600,2250,0.728818,0.102627,34,291,2336.8
short,18,20000,10,40,400,50,150,4050,400,4050,1650,0.732784,0.100725,47,304,3092.1
short,19,20000,10,40,400,50,150,4800,400,4800,1300,0.735415,0.092381,38,288,2638.9
short,20,20000,10,40,400,50,150,3850,400,3850,2350,0.728073,0.098956,35,292,2397.3
short,21,20000,10,40,400,50,150,3800,400,3800,2400,0.738708,0.092242,41,289,2837.4
short,22,20000,10,40,400,50,150,4100,400,4100,1400,0.730419,0.097465,37,295,2508.5
short,23,20000,10,40,400,50,150,5250,400,5250,1300,0.731849,0.08372,36,286,2517.5
short,24,20000,10,40,400,50,150,4600,400,4600,1400,0.73605,0.102533,43,301,2857.1
short,25,20000,10,40,400,50,150,4800,400,4800,1350,0.734947,0.086761,41,288,2847.2
short,26,20000,10,40,400,50,150,3650,400,3650,2300,0.737487,0.095757,43,293,2935.2
short,27,20000,10,40,400,50,150,3750,400,3750,2250,0.728235,0.097629,34,291,2336.8
short,28,20000,10,40,400,50,150,5650,400,5650,400,0.729425,0.08848,35,296,2364.9
short,29,20000,10,40,400,50,150,4700,400,4700,1400,0.736082,0.082427,42,288,2916.7
short,30,20000,10,40,400,50,150,4300,400,4300,1400,0.735081,0.101015,38,296,2567.6
short,31,20000,10,40,400,50,150,4650,400,4650,1400,0.735462,0.091843,43,291,2955.3
short,32,20000,10,40,400,50,150,4800,400,4800,1400,0.736986,0.089022,43,294,2925.2
short,33,20000,10,40,400,50,150,3600,400,3600,2350,0.735033,0.097869,41,289,2837.4
short,34,20000,10,40,400,50,150,5300,400,5300,600,0.729924,0.083769,35,283,2473.5
short,35,20000,10,40,400,50,150,4800,400,4800,1300,0.73601,0.092976,37,283,2614.8
short,36,20000,10,40,400,50,150,4750,400,4750,1300,0.737356,0.091089,40,288,2777.8
short,37,20000,10,40,400,50,150,4800,400,4800,1300,0.733987,0.09187,38,286,2657.3
short,38,20000,10,40,400,50,150,3850,400,3850,2250,0.731932,0.100827,36,290,2482.8
short,39,20000,10,40,400,50,-1,3450,400,3450,-1,0.680299,0.124276,24,264,1818.2
