imposed_cv,imposed_T,seed,max_ticks,steady_S,final_S,S_crossed,S_cross_tick,measured_cv,final_pop,total_div,n_rv,rv_median,pct_premature,S_q1,S_q2,S_q3,S_q4,S_q5
0.0,1600,13,20000,0.724,0.9122,1,1000,0.0,36,370,370,0.2688,87.6,0.3169,0.7947,0.7216,0.8025,0.7216
0.0,1600,14,20000,0.7183,0.9122,1,2150,0.0,24,261,261,0.1925,78.5,0.2516,0.7929,0.7161,0.7988,0.7159
0.0,1600,15,20000,0.0,0.0,0,-1,0.0,15,180,180,0.1157,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1600,16,20000,0.7211,0.9122,1,3500,0.0,32,327,327,0.245,79.2,0.1784,0.6678,0.7193,0.8006,0.7187
0.0,1600,17,20000,0.7211,0.9122,1,3600,0.0,32,312,312,0.245,82.1,0.1886,0.7878,0.7187,0.8006,0.7187
0.0,1600,18,20000,0.7211,0.9122,1,3600,0.0,32,312,312,0.2455,82.1,0.1892,0.7878,0.7187,0.8006,0.7187
0.0,1600,19,20000,0.7211,0.9122,1,1000,0.0,32,338,338,0.2455,85.2,0.3,0.7936,0.7187,0.8005,0.7187
0.0,1600,20,20000,0.7211,0.9122,1,3600,0.0,32,312,312,0.2436,82.1,0.1892,0.7878,0.7187,0.8006,0.7187
0.0,1600,21,20000,0.7211,0.9122,1,5050,0.0,32,297,297,0.2424,75.4,0.0744,0.63,0.7128,0.8006,0.7187
0.0,1600,22,20000,0.7186,0.9122,1,2150,0.0,24,261,261,0.192,76.2,0.2516,0.7929,0.7161,0.7988,0.7161
0.0,1600,23,20000,0.7211,0.9122,1,800,0.0,32,337,337,0.244,85.5,0.3111,0.7675,0.7187,0.8005,0.7187
0.0,1600,24,20000,0.7161,0.9122,1,2150,0.0,23,256,256,0.189,74.6,0.2456,0.7928,0.7135,0.7973,0.7137
0.0,3200,0,20000,0.8157,0.9123,1,1000,0.0,32,146,146,0.1021,0.0,0.2214,0.5441,0.8967,0.9033,0.8145
0.0,3200,1,20000,0.8024,0.909,1,600,0.0,23,119,119,0.0728,0.0,0.2896,0.8721,0.8882,0.8921,0.801
0.0,3200,2,20000,0.814,0.9124,1,600,0.0,24,123,123,0.0769,0.0,0.3164,0.8844,0.9018,0.9024,0.8127
0.0,3200,3,20000,0.8098,0.9124,1,10100,0.0,32,105,105,0.0407,0.0,0.0564,0.1366,0.548,0.8973,0.8085
0.0,3200,4,20000,0.8121,0.9112,1,1000,0.0,26,130,130,0.0854,0.0,0.204,0.5217,0.8014,0.8911,0.8108
0.0,3200,5,20000,0.0,0.0,0,-1,0.0,15,90,90,0.036,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3200,6,20000,0.8157,0.9123,1,1000,0.0,32,146,146,0.1011,0.0,0.2215,0.5441,0.8967,0.9033,0.8145
0.0,3200,7,20000,0.8157,0.9124,1,1000,0.0,32,146,146,0.104,0.0,0.2215,0.5441,0.8968,0.9033,0.8145
0.0,3200,8,20000,0.8157,0.9124,1,6850,0.0,32,120,120,0.096,0.0,0.112,0.3806,0.8968,0.8973,0.8145
0.0,3200,9,20000,0.8139,0.9123,1,3750,0.0,25,115,115,0.0571,0.0,0.1636,0.4733,0.8849,0.8991,0.8127
0.0,3200,10,20000,0.8116,0.9008,1,4050,0.0,2,104,104,0.0514,0.0,0.1153,0.4339,0.8967,0.8973,0.8105
0.0,3200,11,20000,0.8098,0.9124,1,10100,0.0,32,105,105,0.0405,0.0,0.0564,0.1366,0.548,0.8973,0.8085
0.0,3200,12,20000,0.8108,0.9095,1,600,0.0,24,123,123,0.0771,0.0,0.2859,0.8812,0.8987,0.8994,0.8096
0.0,3200,13,20000,0.8157,0.9124,1,1000,0.0,32,146,146,0.1031,0.0,0.2208,0.5441,0.8968,0.9033,0.8145
0.0,3200,14,20000,0.8112,0.9124,1,3750,0.0,22,111,111,0.0624,0.0,0.167,0.474,0.8842,0.901,0.8099
0.0,3200,15,20000,0.8047,0.9008,1,13050,0.0,32,91,91,0.0391,0.0,0.0047,0.0699,0.149,0.7316,0.8035
0.0,3200,16,20000,0.8157,0.9124,1,5500,0.0,33,125,125,0.0993,0.0,0.1177,0.3649,0.807,0.8742,0.8145
0.0,3200,17,20000,0.8157,0.9124,1,6850,0.0,32,120,120,0.0941,0.0,0.112,0.3806,0.8968,0.8973,0.8145
0.0,3200,18,20000,0.8157,0.9124,1,6850,0.0,32,120,120,0.0945,0.0,0.112,0.3806,0.8968,0.8973,0.8145
0.0,3200,19,20000,0.8157,0.9123,1,1000,0.0,32,146,146,0.1034,0.0,0.2215,0.5441,0.8967,0.9033,0.8145
0.0,3200,20,20000,0.8157,0.9124,1,6850,0.0,32,120,120,0.0975,0.0,0.112,0.3806,0.8968,0.8973,0.8145
0.0,3200,21,20000,0.806,0.9124,1,10100,0.0,32,108,108,0.0445,0.0,0.0564,0.1366,0.4999,0.7976,0.8047
0.0,3200,22,20000,0.814,0.9124,1,3750,0.0,24,117,117,0.068,0.0,0.167,0.474,0.8968,0.9025,0.8128
0.0,3200,23,20000,0.8157,0.9124,1,800,0.0,32,145,145,0.1068,0.0,0.2443,0.6026,0.8456,0.9033,0.8145
0.0,3200,24,20000,0.8125,0.9124,1,3750,0.0,23,114,114,0.066,0.0,0.1609,0.474,0.8905,0.9017,0.8112
0.0,6400,0,20000,0.906,0.9007,1,1000,1.0,32,50,50,0.013,0.0,0.2387,0.2771,0.4207,0.7784,0.9061
0.0,6400,1,20000,0.9031,0.9041,1,600,1.0,22,48,48,0.0099,0.0,0.3165,0.4661,0.9968,0.8915,0.9031
0.0,6400,2,20000,0.9102,0.9124,1,600,1.0,24,51,51,0.0099,0.0,0.3439,0.4799,0.9993,0.8973,0.9102
0.0,6400,3,20000,0.2482,0.9008,1,19700,1.0,8,49,49,0.0116,0.0,0.0597,0.0741,0.1249,0.1764,0.2401
0.0,6400,4,20000,0.737,0.8807,1,1000,1.0,27,52,52,0.0152,0.0,0.2226,0.2631,0.3898,0.6177,0.7352
0.0,6400,5,20000,0.0,0.0,0,-1,1.0,15,45,45,0.0101,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6400,6,20000,0.906,0.9007,1,1000,1.0,32,50,50,0.0129,0.0,0.2387,0.2771,0.4207,0.7786,0.9061
0.0,6400,7,20000,0.9061,0.9008,1,1000,1.0,32,50,50,0.0129,0.0,0.2388,0.2771,0.4208,0.7786,0.9061
0.0,6400,8,20000,0.9061,0.9008,1,7250,1.0,20,43,43,0.0092,0.0,0.1194,0.1562,0.2776,0.7135,0.9061
0.0,6400,9,20000,0.906,0.9007,1,6950,1.0,24,45,45,0.0095,0.0,0.1757,0.2121,0.3331,0.7331,0.9061
0.0,6400,10,20000,0.9042,0.8995,1,7000,1.0,24,46,46,0.0092,0.0,0.1194,0.1659,0.3149,0.7501,0.9043
0.0,6400,11,20000,0.2482,0.9008,1,19700,1.0,8,49,49,0.0116,0.0,0.0597,0.0741,0.1249,0.1764,0.2401
0.0,6400,12,20000,0.9069,0.9093,1,600,1.0,24,51,51,0.0098,0.0,0.3123,0.478,0.9951,0.8942,0.9069
0.0,6400,13,20000,0.9053,0.9011,1,1000,1.0,31,50,50,0.0128,0.0,0.2381,0.2771,0.4208,0.7786,0.9054
0.0,6400,14,20000,0.9061,0.9008,1,6950,1.0,24,45,45,0.0094,0.0,0.179,0.2121,0.3331,0.7331,0.9061
0.0,6400,15,20000,0.0,0.0,0,-1,1.0,15,45,45,0.0101,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6400,16,20000,0.8194,0.8565,1,13250,1.0,18,41,41,0.0094,0.0,0.1271,0.151,0.2415,0.628,0.8189
0.0,6400,17,20000,0.9061,0.9007,1,13250,1.0,16,40,40,0.0092,0.0,0.1194,0.1446,0.2351,0.6879,0.9061
0.0,6400,18,20000,0.9061,0.9008,1,13250,1.0,16,40,40,0.0094,0.0,0.1194,0.1446,0.2351,0.6879,0.9061
0.0,6400,19,20000,0.906,0.9007,1,1000,1.0,32,50,50,0.0131,0.0,0.2387,0.2771,0.4207,0.7785,0.9061
0.0,6400,20,20000,0.9061,0.9008,1,13250,1.0,16,40,40,0.0094,0.0,0.1194,0.1446,0.2351,0.6879,0.9061
0.0,6400,21,20000,0.2482,0.9008,1,19700,1.0,8,49,49,0.0115,0.0,0.0597,0.0741,0.1249,0.1764,0.2401
0.0,6400,22,20000,0.9061,0.9008,1,6950,1.0,24,45,45,0.0094,0.0,0.1791,0.2121,0.3331,0.7331,0.9061
0.0,6400,23,20000,0.8151,0.9007,1,800,1.0,36,47,47,0.0097,0.0,0.2646,0.3778,0.8828,0.7901,0.814
