max_cells,seed,tick,n_intervals,n_divisions,cell_S
20,5,34200,0,0,0.0
20,5,34200,0,0,0.0
20,5,34200,0,0,0.0
20,5,34200,0,0,0.0
20,5,34200,0,0,0.0
20,5,34200,0,0,0.0
20,5,34200,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34400,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34600,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,34800,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35000,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35200,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35400,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
20,5,35600,0,0,0.0
