lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.4064
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3969
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3987
,0.0,3200,5,16600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.387
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2962
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.292
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3124
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3006
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2943
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2925
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2846
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3032
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3144
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2877
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3262
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3117
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.306
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.3077
,0.0,3200,5,16800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2996
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2274
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2235
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2366
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2305
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2253
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2239
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2214
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2312
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2362
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2194
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2469
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2372
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2329
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2328
,0.0,3200,5,17000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.2292
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1767
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1738
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1823
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1787
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1757
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1736
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1741
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1801
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1841
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1717
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1894
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1831
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1811
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1799
,0.0,3200,5,17200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1777
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1401
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1388
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1448
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1428
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1405
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1386
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1383
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1433
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1466
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1374
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1494
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1452
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1449
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1432
,0.0,3200,5,17400,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1417
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1132
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.113
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1167
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1163
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1145
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1129
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1133
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1158
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1175
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1117
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1199
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1176
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1171
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1158
,0.0,3200,5,17600,4,3200.0,3200.0,3200.0,3200.0,0.0,0.1152
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0936
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0937
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0966
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0958
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0949
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0942
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0932
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0953
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.097
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0932
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0993
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0974
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0971
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.096
,0.0,3200,5,17800,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0954
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0787
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0794
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0812
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0809
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0797
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0797
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0782
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0801
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0818
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0784
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0833
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0821
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0814
,0.0,3200,5,18000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.0811
