imposed_cv,imposed_T,seed,realized_interval,cell_S,n_intervals,n_divisions
0.0,3200,14,3200.0,0.9124,3,4
0.0,3200,14,3200.0,0.9124,3,4
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,14,3200.0,0.9124,2,3
0.0,3200,9,3200.0,0.9124,5,6
0.0,3200,9,3200.0,0.91233,5,6
0.0,3200,9,3200.0,0.9124,5,6
0.0,3200,9,3200.0,0.9124,4,5
0.0,3200,9,3200.0,0.9123,4,5
0.0,3200,9,3200.0,0.9124,4,5
0.0,3200,9,3200.0,0.9124,3,4
0.0,3200,9,3200.0,0.91226,3,4
0.0,3200,9,3200.0,0.9124,3,4
0.0,3200,9,3200.0,0.91233,3,4
0.0,3200,9,3200.0,0.9124,3,4
0.0,3200,9,3200.0,0.9124,2,3
0.0,3200,9,3200.0,0.91231,2,3
0.0,3200,9,3200.0,0.9124,2,3
0.0,3200,9,3200.0,0.9124,2,3
0.0,3200,9,3200.0,0.91231,2,3
0.0,3200,9,3200.0,0.9124,2,3
0.0,3200,9,3200.0,0.9124,2,3
0.0,3200,9,3200.0,0.91223,2,3
0.0,3200,9,3200.0,0.91231,2,3
0.0,3200,9,3200.0,0.91226,2,3
0.0,3200,9,3200.0,0.9124,1,2
0.0,3200,9,3200.0,0.9121,1,2
0.0,3200,9,3200.0,0.9124,1,2
0.0,3200,9,3200.0,0.9124,1,2
0.0,3200,1,3200.0,0.9124,5,6
0.0,3200,1,3200.0,0.9124,5,6
0.0,3200,1,3200.0,0.89716,5,6
0.0,3200,1,3200.0,0.9124,5,6
0.0,3200,1,3200.0,0.9124,5,6
0.0,3200,1,3200.0,0.9124,5,6
0.0,3200,1,3200.0,0.9124,4,5
0.0,3200,1,3200.0,0.9124,4,5
0.0,3200,1,3200.0,0.88763,4,5
0.0,3200,1,3200.0,0.9124,4,5
0.0,3200,1,3200.0,0.9124,4,5
0.0,3200,1,3200.0,0.9124,4,5
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.89106,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.89523,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,1,3200.0,0.9124,3,4
0.0,3200,8,3200.0,0.9124,5,6
0.0,3200,8,3200.0,0.9124,5,6
0.0,3200,8,3200.0,0.9124,4,5
0.0,3200,8,3200.0,0.9124,4,5
0.0,3200,8,3200.0,0.9124,3,4
0.0,3200,8,3200.0,0.9124,3,4
0.0,3200,8,3200.0,0.9124,3,4
0.0,3200,8,3200.0,0.9124,3,4
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,2,3
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,8,3200.0,0.9124,1,2
0.0,3200,12,3200.0,0.9124,5,6
0.0,3200,12,3200.0,0.90496,5,6
0.0,3200,12,3200.0,0.9124,5,6
0.0,3200,12,3200.0,0.90434,5,6
0.0,3200,12,3200.0,0.9124,5,6
0.0,3200,12,3200.0,0.91234,5,6
0.0,3200,12,3200.0,0.9124,4,5
0.0,3200,12,3200.0,0.90338,4,5
0.0,3200,12,3200.0,0.9124,4,5
0.0,3200,12,3200.0,0.90413,4,5
0.0,3200,12,3200.0,0.9124,4,5
0.0,3200,12,3200.0,0.91236,4,5
0.0,3200,12,3200.0,0.9124,3,4
0.0,3200,12,3200.0,0.90307,3,4
0.0,3200,12,3200.0,0.9124,3,4
0.0,3200,12,3200.0,0.90299,3,4
0.0,3200,12,3200.0,0.9124,3,4
0.0,3200,12,3200.0,0.91235,3,4
0.0,3200,12,3200.0,0.9124,3,4
0.0,3200,12,3200.0,0.90221,3,4
0.0,3200,12,3200.0,0.9124,3,4
0.0,3200,12,3200.0,0.90414,3,4
0.0,3200,12,3200.0,0.9124,3,4
0.0,3200,12,3200.0,0.91236,3,4
0.0,3200,2,3200.0,0.9124,5,6
0.0,3200,2,3200.0,0.9124,5,6
0.0,3200,2,3200.0,0.91222,5,6
0.0,3200,2,3200.0,0.9124,5,6
0.0,3200,2,3200.0,0.91236,5,6
0.0,3200,2,3200.0,0.9124,5,6
0.0,3200,2,3200.0,0.9124,4,5
0.0,3200,2,3200.0,0.9124,4,5
0.0,3200,2,3200.0,0.9122,4,5
0.0,3200,2,3200.0,0.9124,4,5
0.0,3200,2,3200.0,0.91236,4,5
0.0,3200,2,3200.0,0.9124,4,5
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,2,3200.0,0.91211,3,4
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,2,3200.0,0.91236,3,4
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,2,3200.0,0.91217,3,4
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,2,3200.0,0.91234,3,4
0.0,3200,2,3200.0,0.9124,3,4
0.0,3200,4,3200.0,0.91216,5,6
0.0,3200,4,3200.0,0.9124,5,6
0.0,3200,4,3200.0,0.9124,5,6
0.0,3200,4,3200.0,0.91202,4,5
0.0,3200,4,3200.0,0.9124,4,5
0.0,3200,4,3200.0,0.9124,4,5
0.0,3200,4,3200.0,0.91214,3,4
0.0,3200,4,3200.0,0.9124,3,4
0.0,3200,4,3200.0,0.9124,3,4
0.0,3200,4,3200.0,0.91202,3,4
