variant,seed,max_ticks,rhist_every,rhist_len,buffer_ticks,sample_interval,def_S,def_CV,def_clock_r,xB,xC,ss_clock_r,ss_cv,final_pop,total_divisions,T_div
buf6000,20,40000,50,120,6000,50,150,3850,6000,3850,2350,0.617632,0.043332,37,599,2470.8
buf6000,21,40000,50,120,6000,50,150,3800,6000,3800,2400,0.622871,0.050136,35,594,2356.9
buf6000,22,40000,50,120,6000,50,150,4100,6000,4100,1400,0.619646,0.046468,37,598,2474.9
buf6000,23,40000,50,120,6000,50,150,5250,6000,5250,1300,0.617487,0.0431,37,592,2500.0
buf6000,24,40000,50,120,6000,50,150,4600,6000,4600,1400,0.625016,0.046633,37,595,2487.4
buf6000,25,40000,50,120,6000,50,150,4800,6000,4800,1350,0.615832,0.043485,38,595,2554.6
buf6000,26,40000,50,120,6000,50,150,3650,6000,3650,2300,0.614865,0.045523,39,595,2621.8
buf6000,27,40000,50,120,6000,50,150,3750,6000,3750,2250,0.616413,0.041982,37,598,2474.9
buf6000,28,40000,50,120,6000,50,150,5650,6000,5650,400,0.622907,0.044091,42,607,2767.7
buf6000,29,40000,50,120,6000,50,150,4700,6000,4700,1400,0.618786,0.043257,41,593,2765.6
buf6000,30,40000,50,120,6000,50,150,4300,6000,4300,1400,0.618443,0.04117,45,599,3005.0
buf6000,31,40000,50,120,6000,50,150,4650,6000,4650,1400,0.618429,0.04062,37,591,2504.2
buf6000,32,40000,50,120,6000,50,150,4800,6000,4800,1400,0.618926,0.045539,41,595,2756.3
buf6000,33,40000,50,120,6000,50,150,3600,6000,3600,2350,0.6174,0.046172,39,591,2639.6
buf6000,34,40000,50,120,6000,50,150,5300,6000,5300,600,0.612965,0.044517,41,599,2737.9
buf6000,35,40000,50,120,6000,50,150,4800,6000,4800,1300,0.624135,0.047422,35,594,2356.9
buf6000,36,40000,50,120,6000,50,150,4750,6000,4750,1300,0.617801,0.043963,43,597,2881.1
buf6000,37,40000,50,120,6000,50,150,4800,6000,4800,1300,0.622918,0.043891,37,596,2483.2
buf6000,38,40000,50,120,6000,50,150,3850,6000,3850,2250,0.619163,0.044047,36,594,2424.2
buf6000,39,40000,50,120,6000,50,-1,3450,6000,3450,-1,,,0,381,0.0
